,type,lon,lat,geometry
0,railway,33.7136484,60.7497548,POINT (33.7136484 60.7497548)
1,railway,33.3151451,60.6228664,POINT (33.3151451 60.6228664)
2,railway,30.3547672,59.9904636,POINT (30.3547672 59.9904636)
3,railway,30.4250102,59.9882032,POINT (30.4250102 59.9882032)
4,railway,34.250394,61.9411125,POINT (34.250394 61.9411125)
5,railway,34.3017338,63.1510252,POINT (34.3017338 63.1510252)
6,railway,30.3581566,59.9581823,POINT (30.3581566 59.9581823)
7,railway,29.6126013,58.584182,POINT (29.6126013 58.584182)
8,railway,29.4797692,58.5084726,POINT (29.4797692 58.5084726)
9,railway,30.8343846,58.6119761,POINT (30.8343846 58.6119761)
10,railway,30.0149672,58.6666759,POINT (30.0149672 58.6666759)
11,railway,30.3147135,58.6480652,POINT (30.3147135 58.6480652)
12,railway,30.3631131,59.926932,POINT (30.3631131 59.926932)
13,railway,30.3307149,59.9188181,POINT (30.3307149 59.9188181)
14,railway,31.2331074,58.5521323,POINT (31.2331074 58.5521323)
15,railway,30.2964601,60.039202,POINT (30.2964601 60.039202)
16,railway,30.3874886,59.9090382,POINT (30.3874886 59.9090382)
17,railway,30.2186217,60.1043173,POINT (30.2186217 60.1043173)
18,railway,30.4428073,60.0505255,POINT (30.4428073 60.0505255)
19,railway,34.2682131,63.5218683,POINT (34.2682131 63.5218683)
20,railway,34.2441439,63.4377338,POINT (34.2441439 63.4377338)
21,railway,34.4879374,62.3623541,POINT (34.4879374 62.3623541)
22,railway,34.5167109,62.2993044,POINT (34.5167109 62.2993044)
23,railway,34.4488653,62.2605461,POINT (34.4488653 62.2605461)
24,railway,34.2692852,62.6740809,POINT (34.2692852 62.6740809)
25,railway,34.2761382,62.2093032,POINT (34.2761382 62.2093032)
26,railway,34.2434397,62.1117266,POINT (34.2434397 62.1117266)
27,railway,34.4493238,62.9085547,POINT (34.4493238 62.9085547)
28,railway,33.9882173,60.8375757,POINT (33.9882173 60.8375757)
29,railway,34.0685875,60.9020017,POINT (34.0685875 60.9020017)
30,railway,30.429679,59.7230377,POINT (30.429679 59.7230377)
31,railway,30.6480881,59.4259563,POINT (30.6480881 59.4259563)
32,railway,29.1114003,58.2659924,POINT (29.1114003 58.2659924)
33,railway,29.3629632,58.4233012,POINT (29.3629632 58.4233012)
34,railway,28.3169775,57.3544041,POINT (28.3169775 57.3544041)
35,railway,29.9287843,56.0613901,POINT (29.9287843 56.0613901)
36,railway,30.0675925,56.1663879,POINT (30.0675925 56.1663879)
37,railway,30.1999907,56.5070883,POINT (30.1999907 56.5070883)
38,railway,34.4457065,61.7394636,POINT (34.4457065 61.7394636)
39,railway,33.0468546,60.3962282,POINT (33.0468546 60.3962282)
40,railway,33.1415592,60.4554848,POINT (33.1415592 60.4554848)
41,railway,34.0836929,60.9514526,POINT (34.0836929 60.9514526)
42,railway,34.3946358,61.1013629,POINT (34.3946358 61.1013629)
43,railway,30.2611406,60.4644369,POINT (30.2611406 60.4644369)
44,railway,28.6901263,60.5285769,POINT (28.6901263 60.5285769)
45,railway,28.6843843,60.5830562,POINT (28.6843843 60.5830562)
46,railway,28.7151711,60.4527885,POINT (28.7151711 60.4527885)
47,railway,33.069237,68.9719752,POINT (33.069237 68.9719752)
48,railway,33.0512006,68.8889285,POINT (33.0512006 68.8889285)
49,railway,33.0820651,68.8366707,POINT (33.0820651 68.8366707)
50,railway,33.0974158,69.0195341,POINT (33.0974158 69.0195341)
51,subway,30.3128296,59.9649148,POINT (30.3128296 59.9649148)
52,railway,30.3128296,59.9649148,POINT (30.3128296 59.9649148)
53,subway,30.3194568,59.9551564,POINT (30.3194568 59.9551564)
54,railway,30.3194568,59.9551564,POINT (30.3194568 59.9551564)
55,subway,30.2890649,59.9501285,POINT (30.2890649 59.9501285)
56,railway,30.2890649,59.9501285,POINT (30.2890649 59.9501285)
57,subway,30.2924203,59.9593342,POINT (30.2924203 59.9593342)
58,railway,30.2924203,59.9593342,POINT (30.2924203 59.9593342)
59,subway,30.3181589,60.0179314,POINT (30.3181589 60.0179314)
60,railway,30.3181589,60.0179314,POINT (30.3181589 60.0179314)
61,subway,30.262192,59.9705962,POINT (30.262192 59.9705962)
62,railway,30.262192,59.9705962,POINT (30.262192 59.9705962)
63,subway,30.2556348,59.987678,POINT (30.2556348 59.987678)
64,railway,30.2556348,59.987678,POINT (30.2556348 59.987678)
65,subway,30.3193825,59.9276034,POINT (30.3193825 59.9276034)
66,railway,30.3193825,59.9276034,POINT (30.3193825 59.9276034)
67,subway,30.3200465,59.9259772,POINT (30.3200465 59.9259772)
68,railway,30.3200465,59.9259772,POINT (30.3200465 59.9259772)
69,subway,30.3458263,59.9268264,POINT (30.3458263 59.9268264)
70,railway,30.3458263,59.9268264,POINT (30.3458263 59.9268264)
71,subway,30.359275,59.9215938,POINT (30.359275 59.9215938)
72,railway,30.359275,59.9215938,POINT (30.359275 59.9215938)
73,subway,30.3868253,59.9233521,POINT (30.3868253 59.9233521)
74,railway,30.3868253,59.9233521,POINT (30.3868253 59.9233521)
75,subway,30.4152087,59.9295952,POINT (30.4152087 59.9295952)
76,railway,30.4152087,59.9295952,POINT (30.4152087 59.9295952)
77,subway,30.4424153,59.9315249,POINT (30.4424153 59.9315249)
78,railway,30.4424153,59.9315249,POINT (30.4424153 59.9315249)
79,subway,30.3008958,59.9872271,POINT (30.3008958 59.9872271)
80,railway,30.3008958,59.9872271,POINT (30.3008958 59.9872271)
81,subway,30.2963474,60.0043005,POINT (30.2963474 60.0043005)
82,railway,30.2963474,60.0043005,POINT (30.2963474 60.0043005)
83,subway,30.3210297,60.0353185,POINT (30.3210297 60.0353185)
84,railway,30.3210297,60.0353185,POINT (30.3210297 60.0353185)
85,subway,30.3590236,59.9299928,POINT (30.3590236 59.9299928)
86,railway,30.3590236,59.9299928,POINT (30.3590236 59.9299928)
87,railway,29.9613573,57.8238913,POINT (29.9613573 57.8238913)
88,railway,28.6299344,60.3652892,POINT (28.6299344 60.3652892)
89,subway,30.4426386,60.050266,POINT (30.4426386 60.050266)
90,railway,30.4426386,60.050266,POINT (30.4426386 60.050266)
91,subway,30.4817525,59.9090112,POINT (30.4817525 59.9090112)
92,railway,30.4817525,59.9090112,POINT (30.4817525 59.9090112)
93,subway,30.4640141,59.92103,POINT (30.4640141 59.92103)
94,railway,30.4640141,59.92103,POINT (30.4640141 59.92103)
95,railway,30.3260175,58.7361355,POINT (30.3260175 58.7361355)
