,type,lon,lat,geometry
0,railway,85.0484928,56.4091611,POINT (85.0484928 56.4091611)
1,railway,85.1275528,56.5796752,POINT (85.1275528 56.5796752)
2,railway,86.1825175,57.1141515,POINT (86.1825175 57.1141515)
3,railway,84.8213662,56.6240793,POINT (84.8213662 56.6240793)
4,railway,85.0540692,56.5411371,POINT (85.0540692 56.5411371)
5,railway,86.1576023,56.9964987,POINT (86.1576023 56.9964987)
6,railway,86.1156661,57.2772723,POINT (86.1156661 57.2772723)
7,railway,86.0468368,57.4188939,POINT (86.0468368 57.4188939)
8,railway,85.0421767,58.4094663,POINT (85.0421767 58.4094663)
9,railway,87.2316616,56.1712647,POINT (87.2316616 56.1712647)
10,railway,87.5279091,56.172521,POINT (87.5279091 56.172521)
11,railway,84.8424004,55.430683,POINT (84.8424004 55.430683)
12,railway,85.9383282,55.0214616,POINT (85.9383282 55.0214616)
13,railway,86.1724853,54.6794992,POINT (86.1724853 54.6794992)
14,railway,86.2065817,54.6203643,POINT (86.2065817 54.6203643)
15,railway,86.2779522,54.1290604,POINT (86.2779522 54.1290604)
16,railway,86.5374854,54.0054563,POINT (86.5374854 54.0054563)
17,railway,86.8386868,53.7833092,POINT (86.8386868 53.7833092)
18,railway,86.7661947,53.8250381,POINT (86.7661947 53.8250381)
19,railway,87.321926,53.4424496,POINT (87.321926 53.4424496)
20,railway,87.2748928,53.4094922,POINT (87.2748928 53.4094922)
21,railway,87.3043848,53.4249991,POINT (87.3043848 53.4249991)
22,railway,87.2052057,53.2817177,POINT (87.2052057 53.2817177)
23,railway,87.2701842,53.358876,POINT (87.2701842 53.358876)
24,railway,87.5590273,53.1141443,POINT (87.5590273 53.1141443)
25,railway,87.9177464,52.8616211,POINT (87.9177464 52.8616211)
26,railway,87.2521753,53.7258594,POINT (87.2521753 53.7258594)
27,railway,103.1654564,53.0565173,POINT (103.1654564 53.0565173)
28,railway,102.6739707,53.4278089,POINT (102.6739707 53.4278089)
29,railway,102.241,53.754328,POINT (102.241 53.754328)
30,railway,101.9582439,54.0414157,POINT (101.9582439 54.0414157)
31,railway,101.1640646,54.4710053,POINT (101.1640646 54.4710053)
32,railway,100.132411,54.62993,POINT (100.132411 54.62993)
33,railway,108.8311505,51.25055,POINT (108.8311505 51.25055)
34,railway,108.9371703,51.1524487,POINT (108.9371703 51.1524487)
