,type,lon,lat,geometry
0,bank,39.7523618,47.2285208,POINT (39.7523618 47.2285208)
1,railway,40.571189,45.4355018,POINT (40.571189 45.4355018)
2,food,39.7616967,47.2321202,POINT (39.7616967 47.2321202)
3,food,39.7169859,47.233152,POINT (39.7169859 47.233152)
4,railway,39.176656,44.1428508,POINT (39.176656 44.1428508)
5,railway,39.224347,44.2849177,POINT (39.224347 44.2849177)
6,railway,39.8269951,47.2297278,POINT (39.8269951 47.2297278)
7,railway,40.3652508,49.0578156,POINT (40.3652508 49.0578156)
8,railway,40.3926924,48.9213192,POINT (40.3926924 48.9213192)
9,railway,39.320721,43.9148725,POINT (39.320721 43.9148725)
10,railway,39.6478942,43.6532356,POINT (39.6478942 43.6532356)
11,food,39.3322306,43.9082238,POINT (39.3322306 43.9082238)
12,railway,38.9544168,44.9891423,POINT (38.9544168 44.9891423)
13,food,38.9777008,45.043329,POINT (38.9777008 45.043329)
14,food,38.9779668,45.043591,POINT (38.9779668 45.043591)
15,food,38.9775329,45.0428303,POINT (38.9775329 45.0428303)
16,food,38.9794327,45.0520165,POINT (38.9794327 45.0520165)
17,railway,39.4714487,45.4589225,POINT (39.4714487 45.4589225)
18,railway,41.2935358,46.2273456,POINT (41.2935358 46.2273456)
19,railway,38.8337991,44.8909685,POINT (38.8337991 44.8909685)
20,railway,38.906899,44.9105429,POINT (38.906899 44.9105429)
21,railway,39.2061235,44.8277452,POINT (39.2061235 44.8277452)
22,railway,39.0909595,44.5988507,POINT (39.0909595 44.5988507)
23,railway,39.1365371,44.5327996,POINT (39.1365371 44.5327996)
24,railway,39.7026145,44.5783298,POINT (39.7026145 44.5783298)
25,railway,37.8614079,44.8694276,POINT (37.8614079 44.8694276)
26,railway,37.9079062,45.0254697,POINT (37.9079062 45.0254697)
27,railway,37.3182804,44.9505302,POINT (37.3182804 44.9505302)
28,railway,37.1486735,45.1968421,POINT (37.1486735 45.1968421)
29,railway,37.2872793,45.1887858,POINT (37.2872793 45.1887858)
30,railway,37.3563349,45.2879969,POINT (37.3563349 45.2879969)
31,railway,40.1805573,45.3690053,POINT (40.1805573 45.3690053)
32,railway,39.7551228,47.2405707,POINT (39.7551228 47.2405707)
33,railway,39.0106299,45.2486726,POINT (39.0106299 45.2486726)
34,hospital,38.973263,45.2377175,POINT (38.973263 45.2377175)
35,railway,38.9978859,45.1248481,POINT (38.9978859 45.1248481)
36,railway,46.8107369,45.3333768,POINT (46.8107369 45.3333768)
37,railway,44.001509,49.3150166,POINT (44.001509 49.3150166)
38,railway,41.7634722,51.0792297,POINT (41.7634722 51.0792297)
39,railway,39.2496187,44.2538215,POINT (39.2496187 44.2538215)
40,railway,39.277017,44.2809805,POINT (39.277017 44.2809805)
41,railway,39.3365964,44.3204096,POINT (39.3365964 44.3204096)
42,railway,39.3415603,44.367386,POINT (39.3415603 44.367386)
43,food,38.9716693,45.028565,POINT (38.9716693 45.028565)
44,food,38.9719668,45.0284227,POINT (38.9719668 45.0284227)
45,food,38.9720561,45.0274434,POINT (38.9720561 45.0274434)
46,food,38.967865,45.0240812,POINT (38.967865 45.0240812)
47,bank,38.9753404,45.0360928,POINT (38.9753404 45.0360928)
48,railway,37.7748777,44.7353935,POINT (37.7748777 44.7353935)
49,atm,38.9784838,45.0488789,POINT (38.9784838 45.0488789)
50,atm,39.0023356,45.0627626,POINT (39.0023356 45.0627626)
51,atm,39.0007083,45.0657936,POINT (39.0007083 45.0657936)
52,atm,38.9831205,45.0563018,POINT (38.9831205 45.0563018)
53,bank,38.976871,45.036568,POINT (38.976871 45.036568)
54,atm,38.9670217,45.0305891,POINT (38.9670217 45.0305891)
55,atm,38.9713586,45.0261361,POINT (38.9713586 45.0261361)
56,atm,39.0260484,45.0203686,POINT (39.0260484 45.0203686)
57,atm,38.9972362,45.0546155,POINT (38.9972362 45.0546155)
58,food,38.9745836,45.0393973,POINT (38.9745836 45.0393973)
59,food,38.9762994,45.0386069,POINT (38.9762994 45.0386069)
60,food,38.9725344,45.0311877,POINT (38.9725344 45.0311877)
61,food,38.9746396,45.0312423,POINT (38.9746396 45.0312423)
62,food,38.973593,45.0266257,POINT (38.973593 45.0266257)
63,food,38.9698409,45.0354741,POINT (38.9698409 45.0354741)
64,food,38.9706946,45.0381791,POINT (38.9706946 45.0381791)
65,food,38.98235,45.0546741,POINT (38.98235 45.0546741)
66,food,38.969614,45.0233424,POINT (38.969614 45.0233424)
67,food,38.9912995,45.0252434,POINT (38.9912995 45.0252434)
68,food,39.0096994,45.020456,POINT (39.0096994 45.020456)
69,food,38.9941807,45.0242857,POINT (38.9941807 45.0242857)
70,food,38.9712972,45.0292558,POINT (38.9712972 45.0292558)
71,food,38.9834601,45.0492839,POINT (38.9834601 45.0492839)
72,food,39.0023028,45.0503272,POINT (39.0023028 45.0503272)
73,food,38.9740123,45.0282437,POINT (38.9740123 45.0282437)
74,atm,38.9900944,45.0378038,POINT (38.9900944 45.0378038)
75,atm,38.9906326,45.0377217,POINT (38.9906326 45.0377217)
76,food,38.9940004,45.0396018,POINT (38.9940004 45.0396018)
77,food,38.9668823,45.0306025,POINT (38.9668823 45.0306025)
78,food,38.9686524,45.0208084,POINT (38.9686524 45.0208084)
79,food,38.9684338,45.0180693,POINT (38.9684338 45.0180693)
80,food,39.0472853,45.0164604,POINT (39.0472853 45.0164604)
81,food,38.9860481,45.061617,POINT (38.9860481 45.061617)
82,college,38.9823863,45.0686136,POINT (38.9823863 45.0686136)
83,atm,38.9823503,45.0686992,POINT (38.9823503 45.0686992)
84,atm,38.9744235,45.037432,POINT (38.9744235 45.037432)
85,atm,38.971094,45.0279836,POINT (38.971094 45.0279836)
86,food,38.976417,45.0399706,POINT (38.976417 45.0399706)
