key,value
highway,footway
aerialway,cable_car
aerialway,gondola
aerialway,mixed_lift
aerialway,chair_lift
aerialway,drag_lift
aerialway,t-bar
aerialway,j-bar
aerialway,platter
aerialway,rope_tow
aerialway,magic_carpet
aerialway,zip_line
aerialway,goods
aerialway,pylon
aerialway,station
aeroway,aerodrome
aeroway,aircraft_crossing
aeroway,apron
aeroway,gate
aeroway,hangar
aeroway,helipad
aeroway,heliport
aeroway,navigationaid
aeroway,runway
aeroway,spaceport
aeroway,taxiway
aeroway,terminal
aeroway,windsock
amenity,bar
amenity,pub
amenity,bar
amenity,restaurant
amenity,biergarten
amenity,pub
amenity,bar
amenity,restaurant
amenity,pub
amenity,bar
amenity,restaurant
amenity,cafe
amenity,restaurant
amenity,bar
amenity,fast_food
amenity,restaurant
amenity,food_court
amenity,ice_cream
amenity,pub
amenity,bar
amenity,pub
amenity,restaurant
amenity,fast_food
amenity,college
amenity,driving_school
amenity,kindergarten
amenity,language_school
amenity,library
amenity,toy_library
amenity,training
amenity,music_school
amenity,school
amenity,university
amenity,bicycle_parking
amenity,bicycle_repair_station
amenity,bicycle_rental
amenity,boat_rental
amenity,boat_sharing
amenity,bus_station
public_transport,station
amenity,car_rental
amenity,car_sharing
amenity,car_wash
amenity,compressed_air
amenity,vehicle_inspection
amenity,charging_station
amenity,ferry_terminal
amenity,fuel
highway,service
amenity,grit_bin
amenity,motorcycle_parking
amenity,parking
highway,service
service,parking_aisle
amenity,parking_entrance
type,site
site,parking
amenity,parking
amenity,parking_space
type,site
site,parking
amenity,parking
amenity,taxi
amenity,atm
amenity,bank
amenity,bureau_de_change
amenity,baby_hatch
amenity,clinic
amenity,dentist
amenity,doctors
amenity,hospital
amenity,nursing_home
amenity,social_facility
social_facility,nursing_home
amenity,pharmacy
amenity,social_facility
amenity,veterinary
amenity,arts_centre
amenity,brothel
amenity,casino
amenity,cinema
amenity,community_centre
amenity,conference_centre
amenity,events_venue
amenity,fountain
amenity,gambling
shop,bookmaker
shop,lottery
amenity,casino
leisure,adult_gaming_centre
amenity,love_hotel
amenity,nightclub
amenity,stripclub
amenity,planetarium
amenity,public_bookcase
amenity,social_centre
amenity,stripclub
amenity,studio
amenity,swingerclub
amenity,theatre
amenity,cinema
amenity,courthouse
amenity,fire_station
amenity,police
amenity,post_box
amenity,post_depot
amenity,post_office
amenity,prison
amenity,ranger_station
amenity,townhall
amenity,bbq
tourism,picnic_site
leisure,firepit
amenity,bench
amenity,dog_toilet
amenity,dressing_room
amenity,drinking_water
amenity,give_box
amenity,mailroom
amenity,parcel_locker
amenity,shelter
amenity,shower
amenity,telephone
amenity,toilets
amenity,water_point
amenity,watering_place
amenity,sanitary_dump_station
amenity,recycling
recycling_type,container
recycling_type,centre
amenity,waste_basket
amenity,waste_disposal
amenity,waste_transfer_station
amenity,animal_boarding
amenity,animal_breeding
amenity,animal_shelter
amenity,baking_oven
building,bakehouse
amenity,childcare
amenity,kindergarten
amenity,clock
amenity,crematorium
amenity,dive_centre
amenity,funeral_hall
amenity,grave_yard
landuse,cemetery
amenity,hunting_stand
amenity,internet_cafe
amenity,kitchen
amenity,kneipp_water_cure
amenity,lounger
amenity,marketplace
amenity,monastery
amenity,photo_booth
amenity,place_of_mourning
amenity,place_of_worship
amenity,place_of_worship
amenity,place_of_worship
amenity,public_bath
amenity,public_building
office,government
amenity,refugee_site
amenity,vending_machine
barrier,cable_barrier
barrier,city_wall
barrier,ditch
barrier,fence
barrier,guard_rail
barrier,handrail
barrier,hedge
barrier,kerb
barrier,retaining_wall
barrier,wall
barrier,block
barrier,bollard
barrier,border_control
barrier,bump_gate
barrier,bus_trap
barrier,cattle_grid
barrier,chain
barrier,cycle_barrier
barrier,debris
barrier,entrance
barrier,full-height_turnstile
barrier,gate
barrier,hampshire_gate
barrier,height_restrictor
barrier,horse_stile
barrier,jersey_barrier
barrier,kissing_gate
barrier,lift_gate
barrier,log
barrier,motorcycle_barrier
barrier,rope
barrier,sally_port
barrier,spikes
barrier,stile
barrier,sump_buster
barrier,swing_gate
barrier,toll_booth
barrier,turnstile
barrier,yes
boundary,aboriginal_lands
boundary,administrative
boundary,border_zone
boundary,forest
boundary,forest_compartment
boundary,hazard
boundary,maritime
boundary,marker
historic,boundary_stone
boundary,national_park
boundary,place
boundary,place
boundary,political
boundary,postal_code
boundary,protected_area
boundary,special_economic_zone
boundary,disputed
boundary,administrative
building,supermarket
shop,supermarket
building,apartments
building,barracks
building,bungalow
building,cabin
building,detached
building,dormitory
residential,university
building,farm
building,farm_auxiliary
building,barn
building,house
landuse,farmyard
building,ger
building,hotel
tourism,hotel
building,house
building,houseboat
building,residential
building,semidetached_house
building,static_caravan
building,stilt_house
building,terrace
building,tree_house
building,commercial
landuse,commercial
building,industrial
landuse,industrial
man_made,works
building,kiosk
building,office
landuse,commercial
landuse,retail
building,retail
landuse,retail
building,supermarket
building,warehouse
building,cathedral
amenity,place_of_worship
landuse,religious
building,chapel
amenity,place_of_worship
landuse,religious
building,church
amenity,place_of_worship
landuse,religious
building,kingdom_hall
amenity,place_of_worship
religion,christian
landuse,religious
building,monastery
amenity,monastery
historic,monastery
building,mosque
amenity,place_of_worship
landuse,religious
building,presbytery
building,religious
building,shrine
amenity,place_of_worship
landuse,religious
historic,wayside_shrine
building,synagogue
amenity,place_of_worship
landuse,religious
building,temple
amenity,place_of_worship
landuse,religious
building,bakehouse
amenity,baking_oven
building,bridge
building,gatehouse
bridge,yes
man_made,bridge
building,civic
amenity,community_centre
amenity,library
amenity,toilets
leisure,sports_centre
leisure,swimming_pool
amenity,townhall
building,public
building,college
amenity,college
building,fire_station
amenity,fire_station
building,government
building,gatehouse
building,hospital
amenity,hospital
building,kindergarten
amenity,kindergarten
building,public
building,school
amenity,school
building,toilets
building,train_station
building,transportation
public_transport,station
building,train_station
building,university
amenity,university
building,barn
building,conservatory
building,cowshed
building,farm_auxiliary
building,greenhouse
landuse,greenhouse_horticulture
building,slurry_tank
building,stable
building,sty
building,grandstand
building,pavilion
building,riding_hall
building,sports_hall
building,stadium
building,hangar
aeroway,hangar
building,hut
building,shed
building,shed
building,carport
building,garage
building,hangar
building,garages
building,parking
building,digester
building,service
building,transformer_tower
power,substation
substation,minor_distribution
building,water_tower
building,storage_tank
building,silo
building,beach_hut
building,bunker
military,bunker
building,castle
historic,castle
building,construction
building,container
building,military
building,roof
building,ruins
building,tent
building,yes
entrance,yes
entrance,main
entrance,exit
entrance,service
entrance,emergency
building,entrance
craft,agricultural_engines
craft,atelier
craft,bakery
craft,basket_maker
craft,beekeeper
craft,blacksmith
craft,boatbuilder
craft,bookbinder
craft,brewery
craft,builder
craft,cabinet_maker
craft,candlemaker
craft,car_painter
craft,carpenter
craft,carpet_layer
craft,caterer
craft,chimney_sweeper
craft,cleaning
craft,clockmaker
craft,confectionery
craft,cooper
craft,dental_technician
craft,distillery
craft,door_construction
craft,dressmaker
craft,electronics_repair
craft,embroiderer
craft,electrician
craft,engraver
craft,fence_maker
craft,floorer
craft,fruit_press
craft,gardener
craft,glaziery
craft,goldsmith
craft,grinding_mill
craft,handicraft
craft,hvac
craft,insulation
craft,interior_decorator
craft,interior_work
craft,jeweller
craft,joiner
craft,key_cutter
craft,locksmith
craft,metal_construction
craft,mint
craft,musical_instrument
craft,oil_mill
craft,optician
craft,organ_builder
craft,painter
craft,parquet_layer
craft,paver
craft,photographer
craft,photographic_laboratory
craft,piano_tuner
craft,plasterer
craft,plumber
craft,pottery
craft,printer
craft,printmaker
craft,rigger
craft,roofer
craft,saddler
craft,sailmaker
craft,sawmill
craft,scaffolder
craft,sculptor
craft,shoemaker
craft,signmaker
craft,stand_builder
craft,stonemason
craft,stove_fitter
craft,sun_protection
craft,tailor
craft,tiler
craft,tinsmith
craft,toolmaker
craft,turner
craft,upholsterer
craft,watchmaker
craft,water_well_drilling
craft,window_construction
craft,winery
emergency,ambulance_station
emergency,defibrillator
emergency,landing_site
emergency,emergency_ward_entrance
emergency,dry_riser_inlet
emergency,fire_alarm_box
emergency,fire_extinguisher
emergency,fire_hose
emergency,fire_hydrant
emergency,water_tank
emergency,suction_point
emergency,lifeguard
emergency,life_ring
lifeguard,tower
emergency,assembly_point
emergency,phone
emergency,siren
emergency,drinking_water
geological,moraine
geological,outcrop
geological,palaeontological_site
geological,volcanic_caldera_rim
geological,volcanic_vent
geological,volcanic_lava_field
geological,columnar_jointing
healthcare,alternative
healthcare,yes
healthcare,audiologist
shop,hearing_aids
healthcare,birthing_centre
healthcare,blood_bank
healthcare,blood_donation
healthcare,counselling
healthcare,nutrition_counselling
healthcare,dialysis
healthcare,hospice
healthcare,laboratory
healthcare,midwife
healthcare,nurse
healthcare,occupational_therapist
healthcare,optometrist
shop,optician
healthcare,physiotherapist
healthcare,podiatrist
healthcare,psychotherapist
healthcare,rehabilitation
healthcare,sample_collection
healthcare,speech_therapist
healthcare,vaccination_centre
highway,motorway
highway,trunk
highway,primary
highway,secondary
highway,unclassified
highway,road
highway,residential
highway,motorway_link
highway,trunk_link
highway,primary_link
highway,secondary_link
highway,tertiary_link
highway,living_street
highway,service
highway,pedestrian
highway,track
highway,bus_guideway
highway,escape
highway,raceway
highway,road
highway,busway
highway,footway
highway,pedestrian
highway,track
highway,bridleway
highway,steps
highway,corridor
highway,path
highway,footway
highway,cycleway
highway,bridleway
highway,track
footway,sidewalk
highway,footway
highway,path
footway,crossing
highway,footway
highway,path
highway,cycleway
cycleway,lane
cycleway,opposite
oneway,yes
cycleway,opposite_lane
oneway,yes
cycleway,track
highway,cycleway
cycleway,opposite_track
oneway,yes
cycleway,share_busway
cycleway,opposite_share_busway
oneway,yes
cycleway,shared_lane
busway,lane
highway,proposed
