iter	Passed	Remaining
0	3	3681
1	5	2678
2	7	2657
3	11	2748
4	15	3026
5	18	3027
6	21	3028
7	24	2995
8	28	3146
9	31	3099
10	34	3058
11	36	3035
12	39	3025
13	42	2997
14	45	3000
15	48	2999
16	51	2991
17	54	2984
18	57	2963
19	60	2945
20	63	2943
21	66	2961
22	70	2999
23	73	2985
24	76	2975
25	79	2962
26	81	2950
27	85	2961
28	87	2942
29	90	2930
30	93	2908
31	96	2904
32	98	2888
33	103	2927
34	105	2907
35	107	2888
36	110	2883
37	113	2864
38	116	2860
39	118	2851
40	121	2840
41	123	2810
42	125	2798
43	128	2789
44	130	2771
45	133	2766
46	135	2756
47	138	2742
48	140	2728
49	143	2719
50	145	2708
51	148	2698
52	151	2699
53	153	2696
54	156	2682
55	158	2675
56	161	2673
57	164	2666
58	167	2665
59	170	2672
60	173	2670
61	175	2661
62	179	2664
63	181	2661
64	184	2655
65	187	2651
66	190	2656
67	194	2661
68	197	2671
69	200	2670
70	203	2667
71	207	2668
72	210	2666
73	212	2660
74	215	2659
75	218	2658
76	221	2654
77	225	2661
78	227	2656
79	231	2663
80	234	2659
81	236	2650
82	239	2647
83	242	2646
84	245	2640
85	248	2637
86	250	2631
87	253	2627
88	256	2626
89	259	2624
90	262	2621
91	265	2619
92	268	2616
93	271	2616
94	274	2614
95	278	2617
96	280	2614
97	283	2613
98	286	2609
99	290	2610
100	293	2608
101	296	2610
102	299	2608
103	302	2609
104	309	2639
105	312	2636
106	318	2656
107	321	2658
108	325	2659
109	328	2655
110	330	2649
111	333	2644
112	337	2648
113	340	2647
114	343	2645
115	346	2643
116	349	2640
117	353	2639
118	356	2637
119	359	2634
120	362	2635
121	366	2639
122	369	2633
123	374	2646
124	377	2640
125	380	2639
126	383	2639
127	386	2634
128	390	2635
129	393	2633
130	396	2628
131	399	2624
132	402	2621
133	405	2623
134	409	2620
135	413	2628
136	416	2624
137	419	2619
138	422	2617
139	425	2611
140	428	2607
141	431	2606
142	434	2605
143	438	2607
144	441	2604
145	445	2604
146	448	2600
147	450	2596
148	454	2593
149	457	2592
150	461	2592
151	464	2591
152	467	2587
153	470	2583
154	473	2580
155	476	2578
156	479	2575
157	482	2569
158	485	2567
159	488	2566
160	492	2565
161	495	2560
162	497	2555
163	500	2551
164	503	2548
165	506	2543
166	510	2547
167	513	2543
168	516	2541
169	519	2538
170	522	2533
171	525	2530
172	528	2527
173	532	2529
174	536	2528
175	539	2527
176	542	2522
177	545	2520
178	549	2518
179	552	2514
180	555	2511
181	557	2507
182	561	2506
183	564	2503
184	567	2499
185	570	2495
186	573	2492
187	576	2489
188	579	2486
189	582	2482
190	585	2478
191	587	2474
192	590	2470
193	593	2467
194	596	2463
195	599	2460
196	602	2456
197	605	2453
198	608	2449
199	617	2471
200	620	2467
201	623	2464
202	626	2461
203	629	2457
204	632	2452
205	635	2448
206	638	2446
207	641	2441
208	644	2438
209	646	2433
210	649	2428
211	652	2425
212	655	2423
213	658	2420
214	661	2416
215	664	2413
216	667	2409
217	670	2406
218	673	2402
219	677	2401
220	680	2398
221	683	2394
222	685	2390
223	689	2386
224	691	2383
225	695	2380
226	697	2376
227	700	2372
228	703	2368
229	706	2364
230	709	2360
231	712	2359
232	715	2356
233	719	2355
234	722	2352
235	725	2348
236	728	2344
237	730	2339
238	733	2336
239	736	2332
240	739	2330
241	742	2327
242	745	2323
243	748	2319
244	751	2315
245	753	2310
246	757	2308
247	760	2305
248	762	2299
249	765	2296
250	769	2294
251	771	2291
252	775	2289
253	778	2285
254	780	2281
255	784	2278
256	787	2276
257	790	2273
258	793	2270
259	796	2267
260	800	2267
261	803	2264
262	806	2260
263	809	2257
264	812	2253
265	815	2250
266	818	2247
267	821	2244
268	824	2240
269	827	2238
270	831	2235
271	834	2232
272	836	2228
273	841	2229
274	844	2225
275	847	2222
276	850	2219
277	853	2216
278	856	2213
279	860	2211
280	863	2208
281	866	2205
282	870	2204
283	875	2207
284	880	2208
285	883	2204
286	886	2201
287	888	2197
288	892	2194
289	895	2192
290	897	2187
291	900	2183
292	903	2180
293	906	2176
294	908	2172
295	916	2178
296	919	2176
297	922	2172
298	932	2187
299	937	2186
300	941	2186
301	946	2187
302	950	2187
303	953	2183
304	956	2180
305	960	2177
306	963	2173
307	966	2170
308	969	2167
309	972	2164
310	975	2162
311	980	2161
312	983	2159
313	987	2157
314	990	2154
315	993	2150
316	996	2146
317	999	2143
318	1003	2141
319	1006	2138
320	1009	2134
321	1013	2134
322	1016	2130
323	1019	2126
324	1022	2123
325	1025	2119
326	1027	2115
327	1031	2112
328	1037	2115
329	1040	2112
330	1043	2108
331	1046	2105
332	1049	2102
333	1052	2099
334	1056	2096
335	1058	2092
336	1061	2089
337	1065	2087
338	1069	2085
339	1072	2081
340	1076	2079
341	1078	2075
342	1082	2072
343	1085	2070
344	1089	2068
345	1096	2071
346	1098	2067
347	1101	2064
348	1104	2060
349	1108	2058
350	1111	2055
351	1115	2052
352	1117	2048
353	1121	2046
354	1124	2043
355	1127	2039
356	1130	2035
357	1133	2032
358	1136	2028
359	1139	2025
360	1142	2022
361	1145	2019
362	1148	2015
363	1150	2010
364	1153	2006
365	1155	2002
366	1158	1998
367	1162	1995
368	1165	1992
369	1167	1988
370	1170	1985
371	1173	1981
372	1176	1976
373	1179	1973
374	1182	1970
375	1185	1966
376	1188	1963
377	1190	1959
378	1193	1955
379	1196	1952
380	1199	1948
381	1202	1945
382	1205	1942
383	1208	1938
384	1211	1934
385	1214	1932
386	1217	1928
387	1220	1924
388	1223	1921
389	1226	1918
390	1229	1915
391	1233	1912
392	1236	1909
393	1239	1906
394	1242	1903
395	1245	1899
396	1248	1896
397	1251	1893
398	1254	1889
399	1258	1887
400	1261	1883
401	1264	1880
402	1267	1878
403	1270	1874
404	1273	1871
405	1276	1868
406	1279	1864
407	1282	1860
408	1284	1856
409	1288	1853
410	1291	1850
411	1294	1847
412	1297	1844
413	1300	1841
414	1303	1837
415	1306	1833
416	1309	1830
417	1312	1826
418	1315	1823
419	1318	1820
420	1321	1817
421	1324	1814
422	1328	1811
423	1331	1808
424	1333	1804
425	1338	1804
426	1342	1800
427	1345	1798
428	1349	1795
429	1353	1794
430	1356	1790
431	1359	1786
432	1362	1784
433	1365	1780
434	1368	1778
435	1372	1775
436	1375	1772
437	1378	1769
438	1381	1765
439	1384	1762
440	1387	1759
441	1390	1755
442	1393	1752
443	1396	1749
444	1399	1745
445	1403	1743
446	1406	1740
447	1409	1737
448	1412	1733
449	1415	1729
450	1417	1726
451	1420	1722
452	1424	1719
453	1427	1716
454	1430	1712
455	1432	1709
456	1435	1705
457	1438	1702
458	1441	1698
459	1444	1695
460	1447	1692
461	1452	1691
462	1456	1688
463	1459	1685
464	1462	1682
465	1466	1680
466	1469	1677
467	1472	1673
468	1475	1670
469	1480	1669
470	1483	1666
471	1487	1664
472	1490	1660
473	1494	1658
474	1498	1656
475	1502	1653
476	1505	1651
477	1510	1649
478	1512	1645
479	1515	1642
480	1518	1638
481	1521	1635
482	1525	1632
483	1527	1628
484	1531	1625
485	1534	1622
486	1537	1619
487	1540	1616
488	1543	1612
489	1546	1609
490	1549	1606
491	1552	1602
492	1556	1600
493	1560	1598
494	1564	1595
495	1567	1592
496	1572	1591
497	1575	1588
498	1579	1585
499	1582	1582
500	1585	1578
501	1588	1576
502	1591	1572
503	1594	1569
504	1598	1566
505	1601	1563
506	1604	1560
507	1607	1556
508	1610	1553
509	1614	1550
510	1616	1547
511	1620	1544
512	1623	1541
513	1626	1538
514	1629	1534
515	1634	1533
516	1640	1533
517	1644	1529
518	1648	1527
519	1652	1525
520	1657	1524
521	1665	1525
522	1670	1523
523	1678	1525
524	1682	1522
525	1687	1520
526	1690	1517
527	1698	1518
528	1703	1516
529	1707	1513
530	1713	1513
531	1720	1513
532	1728	1514
533	1732	1512
534	1739	1511
535	1742	1508
536	1745	1505
537	1750	1502
538	1753	1499
539	1756	1496
540	1759	1493
541	1767	1493
542	1772	1492
543	1775	1488
544	1778	1485
545	1781	1481
546	1784	1477
547	1788	1474
548	1791	1471
549	1796	1469
550	1799	1466
551	1803	1463
552	1806	1460
553	1809	1456
554	1813	1453
555	1816	1450
556	1820	1448
557	1823	1444
558	1827	1441
559	1830	1438
560	1833	1434
561	1836	1431
562	1840	1428
563	1843	1425
564	1848	1422
565	1854	1422
566	1859	1419
567	1862	1416
568	1866	1413
569	1869	1410
570	1871	1406
571	1875	1403
572	1878	1399
573	1881	1396
574	1884	1392
575	1887	1389
576	1893	1388
577	1897	1385
578	1901	1382
579	1904	1379
580	1908	1376
581	1913	1374
582	1918	1372
583	1926	1372
584	1930	1369
585	1933	1365
586	1935	1362
587	1939	1358
588	1943	1356
589	1946	1352
590	1950	1349
591	1953	1346
592	1955	1342
593	1959	1339
594	1962	1336
595	1965	1332
596	1968	1328
597	1971	1325
598	1974	1322
599	1978	1318
600	1981	1315
601	1984	1312
602	1988	1308
603	1991	1305
604	1994	1302
605	1997	1298
606	2001	1296
607	2005	1293
608	2009	1290
609	2012	1286
610	2016	1283
611	2018	1279
612	2022	1276
613	2028	1274
614	2031	1271
615	2034	1268
616	2037	1265
617	2040	1261
618	2043	1258
619	2047	1254
620	2050	1251
621	2054	1248
622	2057	1244
623	2060	1241
624	2064	1238
625	2067	1235
626	2070	1231
627	2073	1228
628	2077	1225
629	2081	1222
630	2084	1219
631	2088	1216
632	2092	1213
633	2095	1209
634	2099	1206
635	2103	1204
636	2107	1200
637	2112	1198
638	2115	1194
639	2118	1191
640	2122	1188
641	2126	1185
642	2130	1182
643	2135	1180
644	2138	1177
645	2142	1173
646	2146	1171
647	2150	1168
648	2154	1165
649	2157	1161
650	2161	1158
651	2165	1155
652	2169	1152
653	2172	1149
654	2176	1146
655	2179	1142
656	2182	1139
657	2187	1137
658	2191	1133
659	2194	1130
660	2197	1127
661	2200	1123
662	2204	1120
663	2207	1116
664	2210	1113
665	2213	1110
666	2217	1107
667	2221	1103
668	2225	1100
669	2228	1097
670	2231	1094
671	2234	1090
672	2239	1088
673	2242	1084
674	2246	1081
675	2250	1078
676	2253	1075
677	2257	1071
678	2260	1068
679	2268	1067
680	2271	1064
681	2274	1060
682	2277	1057
683	2280	1053
684	2283	1050
685	2287	1046
686	2297	1046
687	2301	1043
688	2304	1040
689	2307	1036
690	2310	1033
691	2312	1029
692	2315	1025
693	2318	1022
694	2321	1018
695	2324	1015
696	2328	1012
697	2330	1008
698	2334	1005
699	2337	1001
700	2340	998
701	2343	994
702	2346	991
703	2349	987
704	2352	984
705	2355	980
706	2359	977
707	2362	974
708	2364	970
709	2367	966
710	2370	963
711	2373	960
712	2376	956
713	2379	953
714	2382	949
715	2385	946
716	2389	942
717	2391	939
718	2394	935
719	2397	932
720	2403	930
721	2406	926
722	2410	923
723	2413	919
724	2416	916
725	2419	913
726	2424	910
727	2429	907
728	2432	904
729	2435	900
730	2438	897
731	2441	893
732	2444	890
733	2447	886
734	2450	883
735	2453	879
736	2456	876
737	2459	873
738	2463	869
739	2466	866
740	2470	863
741	2474	860
742	2477	856
743	2481	854
744	2485	850
745	2490	847
746	2493	844
747	2498	841
748	2501	838
749	2504	834
750	2508	831
751	2511	828
752	2514	824
753	2517	821
754	2520	818
755	2524	814
756	2527	811
757	2531	808
758	2535	805
759	2539	801
760	2543	798
761	2546	795
762	2549	792
763	2553	788
764	2556	785
765	2559	781
766	2563	778
767	2566	775
768	2569	771
769	2573	768
770	2576	765
771	2580	762
772	2583	758
773	2587	755
774	2591	752
775	2594	748
776	2597	745
777	2601	742
778	2604	738
779	2608	735
780	2611	732
781	2614	728
782	2617	725
783	2620	722
784	2624	718
785	2627	715
786	2631	712
787	2633	708
788	2638	705
789	2642	702
790	2646	699
791	2650	696
792	2656	693
793	2661	690
794	2664	687
795	2667	683
796	2670	680
797	2673	676
798	2679	673
799	2682	670
800	2686	667
801	2689	664
802	2692	660
803	2696	657
804	2699	654
805	2703	650
806	2707	647
807	2711	644
808	2714	640
809	2719	637
810	2722	634
811	2725	631
812	2728	627
813	2732	624
814	2735	621
815	2739	617
816	2743	614
817	2747	611
818	2751	607
819	2754	604
820	2757	601
821	2759	597
822	2763	594
823	2766	590
824	2769	587
825	2772	583
826	2774	580
827	2777	577
828	2780	573
829	2783	570
830	2786	566
831	2789	563
832	2791	559
833	2795	556
834	2797	552
835	2800	549
836	2803	545
837	2808	542
838	2812	539
839	2816	536
840	2818	532
841	2821	529
842	2824	525
843	2827	522
844	2830	519
845	2833	515
846	2836	512
847	2839	508
848	2842	505
849	2846	502
850	2848	498
851	2851	495
852	2854	491
853	2857	488
854	2860	485
855	2863	481
856	2866	478
857	2869	474
858	2872	471
859	2876	468
860	2879	464
861	2882	461
862	2885	458
863	2888	454
864	2891	451
865	2894	447
866	2897	444
867	2900	441
868	2904	437
869	2906	434
870	2909	430
871	2912	427
872	2915	424
873	2918	420
874	2921	417
875	2924	413
876	2927	410
877	2930	407
878	2934	403
879	2937	400
880	2940	397
881	2943	393
882	2946	390
883	2950	387
884	2952	383
885	2955	380
886	2958	376
887	2961	373
888	2964	370
889	2967	366
890	2970	363
891	2973	359
892	2976	356
893	2980	353
894	2982	349
895	2986	346
896	2988	343
897	2991	339
898	2994	336
899	2997	333
900	3000	329
901	3003	326
902	3006	322
903	3009	319
904	3012	316
905	3015	312
906	3018	309
907	3021	306
908	3025	302
909	3028	299
910	3031	296
911	3034	292
912	3037	289
913	3040	286
914	3043	282
915	3046	279
916	3049	275
917	3052	272
918	3055	269
919	3058	265
920	3061	262
921	3064	259
922	3067	255
923	3069	252
924	3072	249
925	3075	245
926	3078	242
927	3081	239
928	3084	235
929	3087	232
930	3090	229
931	3093	225
932	3096	222
933	3099	219
934	3102	215
935	3105	212
936	3107	208
937	3110	205
938	3113	202
939	3116	198
940	3119	195
941	3122	192
942	3125	188
943	3128	185
944	3130	182
945	3133	178
946	3136	175
947	3139	172
948	3142	168
949	3144	165
950	3147	162
951	3150	158
952	3153	155
953	3156	152
954	3159	148
955	3162	145
956	3165	142
957	3168	138
958	3171	135
959	3174	132
960	3177	128
961	3179	125
962	3183	122
963	3185	118
964	3188	115
965	3191	112
966	3194	109
967	3197	105
968	3200	102
969	3203	99
970	3206	95
971	3209	92
972	3212	89
973	3215	85
974	3218	82
975	3221	79
976	3224	75
977	3227	72
978	3231	69
979	3233	65
980	3236	62
981	3239	59
982	3242	56
983	3245	52
984	3248	49
985	3251	46
986	3254	42
987	3257	39
988	3260	36
989	3263	32
990	3266	29
991	3268	26
992	3271	23
993	3274	19
994	3277	16
995	3280	13
996	3283	9
997	3286	6
998	3289	3
999	3292	0
