dist,area
30,3996.5
17,45485.49999999999
12,13524.900000000001
7,27171.97
69,0.0
16,11454.5
3,0.0
50,6583.0
48,24464.5
3,14166.199999999999
14,48414.85
7,13741.199999999999
18,50092.799999999996
3,46132.0
3,114.1
0,0.0
0,0.0
3,11055.000000000002
5,11749.499999999998
17,19422.800000000003
2,0.0
1,26893.86
12,45325.49999999999
2,12823.2
1,22683.100000000002
4,49296.79999999999
9,16139.4
3,24871.18
1,14990.800000000001
5,7816.7
32,7936.2
0,0.0
4,35151.6
5,11749.499999999998
18,12612.900000000001
0,0.0
0,0.0
0,0.0
0,0.0
18,46183.899999999994
51,10118.8
16,13043.800000000001
32,6096.5
18,46183.899999999994
1,9092.7
22,12608.899999999998
8,14936.009999999998
32,7936.2
0,0.0
16,3488.1
1,36079.92
7,4107.799999999999
18,12612.900000000001
10,7262.400000000001
23,12209.1
23,12209.1
23,12209.1
23,12209.1
12,23925.72
12,45325.49999999999
37,15479.0
1,24390.900000000005
37,15479.0
23,12339.2
8,17344.999999999996
1,11693.5
0,0.0
0,0.0
23,12339.2
6,9225.1
23,12209.1
7,19542.9
1,0.0
48,24464.5
6,1934.6
0,0.0
16,32.4
21,5525.8
125,116494.7
14,26240.899999999998
1,0.0
52,14303.800000000001
9,30296.62
12,27988.510000000002
4,352.1
10,0.0
4,31620.7
39,53776.23
3,15969.200000000003
21,11652.53
23,1473.7
2,34848.909999999996
3,26645.4
7,51980.8
12,27112.4
7,21154.85
3,8396.400000000001
30,54230.4
12,44244.3
23,14770.5
26,15733.0
23,86915.99999999997
10,218.96
30,8126.5
21,41303.92999999999
6,2012.7
12,5125.7
123,21948.25
2,1780.31
39,0.0
2,44362.76
44,78168.67000000001
1,542.1
23,14596.400000000001
11,7825.929999999999
0,0.0
9,82366.20000000001
22,1968.51
27,79592.49
147,20326.0
0,0.0
0,0.0
5,21218.699999999997
7,0.0
8,0.0
16,0.0
12,36269.3
40,92932.29999999999
60,0.0
24,41033.31
38,99949.99999999999
40,22580.31
1,0.0
23,95510.4
56,70377.1
63,34859.6
41,0.0
9,31832.799999999996
32,77746.5
32,77746.5
32,77746.5
32,77746.5
4,0.0
4,0.0
4,0.0
37,114925.80000000002
37,114925.80000000002
37,114925.80000000002
134,55182.9
81,55909.8
81,55909.8
81,55909.8
81,55909.8
3,47337.2
56,93651.8
56,93651.8
47,56132.3
47,56132.3
47,56132.3
47,56132.3
37,69141.9
37,69141.9
0,0.0
40,34188.2
37,69141.9
14,74142.34
27,6700.73
27,6700.73
38,65919.18000000001
44,24232.0
7,2382.8
5,28586.899999999998
40,52255.0
40,52255.0
40,52255.0
40,52255.0
0,0.0
0,0.0
38,82495.9
