,type,lon,lat,geometry
0,railway,33.5976282,44.6072667,POINT (33.5976282 44.6072667)
1,railway,33.8493068,44.7558909,POINT (33.8493068 44.7558909)
2,railway,33.5289657,44.5951934,POINT (33.5289657 44.5951934)
3,food,35.8177826,45.4266541,POINT (35.8177826 45.4266541)
4,food,35.819713,45.4315166,POINT (35.819713 45.4315166)
5,food,35.8299622,45.4481908,POINT (35.8299622 45.4481908)
6,railway,34.8069386,45.3868917,POINT (34.8069386 45.3868917)
7,railway,35.3842447,45.0304235,POINT (35.3842447 45.0304235)
8,railway,34.0279981,45.116446,POINT (34.0279981 45.116446)
9,bank,33.5261225,44.6120683,POINT (33.5261225 44.6120683)
10,railway,33.3715014,45.2139047,POINT (33.3715014 45.2139047)
11,railway,33.5983398,45.144907,POINT (33.5983398 45.144907)
12,railway,33.6881169,45.1540858,POINT (33.6881169 45.1540858)
13,railway,33.810339,45.1643686,POINT (33.810339 45.1643686)
14,railway,33.6100891,44.5887498,POINT (33.6100891 44.5887498)
15,food,33.5203923,45.1305603,POINT (33.5203923 45.1305603)
16,food,33.5971559,45.1282361,POINT (33.5971559 45.1282361)
17,food,33.5211289,45.1298251,POINT (33.5211289 45.1298251)
18,food,33.5211918,45.130142,POINT (33.5211918 45.130142)
19,food,35.8211807,45.4291794,POINT (35.8211807 45.4291794)
20,food,35.8179696,45.4305055,POINT (35.8179696 45.4305055)
21,food,35.8182623,45.4304723,POINT (35.8182623 45.4304723)
22,food,35.8185851,45.4307033,POINT (35.8185851 45.4307033)
23,food,35.8188414,45.4308647,POINT (35.8188414 45.4308647)
24,railway,36.1698421,45.3719208,POINT (36.1698421 45.3719208)
25,food,35.8303535,45.443949,POINT (35.8303535 45.443949)
26,food,34.0737078,44.9249481,POINT (34.0737078 44.9249481)
27,food,34.1665542,44.49501,POINT (34.1665542 44.49501)
28,railway,34.4624353,45.6477569,POINT (34.4624353 45.6477569)
29,railway,34.7355566,45.4501057,POINT (34.7355566 45.4501057)
30,railway,34.9269654,45.3406319,POINT (34.9269654 45.3406319)
31,railway,35.2195941,45.227135,POINT (35.2195941 45.227135)
32,railway,35.399203,45.1270121,POINT (35.399203 45.1270121)
33,railway,33.3552576,45.2004793,POINT (33.3552576 45.2004793)
34,food,34.1587985,44.4894867,POINT (34.1587985 44.4894867)
