,type,lon,lat,geometry
0,railway,126.7502401,52.6307166,POINT (126.7502401 52.6307166)
1,railway,134.9499613,48.5277575,POINT (134.9499613 48.5277575)
2,railway,134.9024777,48.523289,POINT (134.9024777 48.523289)
3,railway,128.5404316,54.6196056,POINT (128.5404316 54.6196056)
4,railway,132.1912051,43.379811,POINT (132.1912051 43.379811)
5,airport,132.5576885,43.3466,POINT (132.5576885 43.3466)
6,railway,124.7878178,56.7665379,POINT (124.7878178 56.7665379)
7,railway,126.2266926,58.9675028,POINT (126.2266926 58.9675028)
8,airport,132.2194834,44.0151683,POINT (132.2194834 44.0151683)
9,railway,135.0884999,48.3529012,POINT (135.0884999 48.3529012)
10,airport,111.5442886,65.9579331,POINT (111.5442886 65.9579331)
11,railway,120.4968365,57.0370427,POINT (120.4968365 57.0370427)
12,railway,122.8681585,55.6381561,POINT (122.8681585 55.6381561)
13,railway,124.0511092,55.3012641,POINT (124.0511092 55.3012641)
14,railway,124.550412,55.1443044,POINT (124.550412 55.1443044)
15,railway,127.4614962,55.0248213,POINT (127.4614962 55.0248213)
16,railway,129.0873075,53.7845244,POINT (129.0873075 53.7845244)
17,railway,130.4153638,52.8727673,POINT (130.4153638 52.8727673)
18,railway,131.0265405,51.753188,POINT (131.0265405 51.753188)
19,railway,131.5280514,51.518689,POINT (131.5280514 51.518689)
20,railway,132.4436352,51.3674416,POINT (132.4436352 51.3674416)
21,railway,132.2763669,50.2755249,POINT (132.2763669 50.2755249)
22,railway,132.2873345,50.3246899,POINT (132.2873345 50.3246899)
23,food,135.0745401,48.5081533,POINT (135.0745401 48.5081533)
24,bank,135.0683216,48.4826231,POINT (135.0683216 48.4826231)
25,food,128.6386139,50.9199975,POINT (128.6386139 50.9199975)
26,food,126.5252986,52.9522763,POINT (126.5252986 52.9522763)
27,airport,-178.6795835,67.9098366,POINT (-178.6795835 67.9098366)
28,airport,148.3117,45.2547718,POINT (148.3117 45.2547718)
29,railway,131.6006227,49.3449212,POINT (131.6006227 49.3449212)
30,railway,131.5847022,49.6129438,POINT (131.5847022 49.6129438)
31,railway,132.0160676,49.9522967,POINT (132.0160676 49.9522967)
32,railway,132.1381708,50.0348129,POINT (132.1381708 50.0348129)
33,railway,132.2675947,50.4121215,POINT (132.2675947 50.4121215)
34,railway,132.3301582,50.5132582,POINT (132.3301582 50.5132582)
35,railway,132.4050182,50.5945993,POINT (132.4050182 50.5945993)
36,railway,132.3084364,50.8370071,POINT (132.3084364 50.8370071)
37,airport,128.1002637,51.4550285,POINT (128.1002637 51.4550285)
38,airport,128.7754457,50.770069,POINT (128.7754457 50.770069)
39,airport,127.6518059,51.9866042,POINT (127.6518059 51.9866042)
40,airport,142.9269167,49.2753771,POINT (142.9269167 49.2753771)
41,airport,142.8833759,49.4000909,POINT (142.8833759 49.4000909)
42,airport,166.0259975,60.3842975,POINT (166.0259975 60.3842975)
43,railway,132.2935586,43.3751577,POINT (132.2935586 43.3751577)
44,atm,131.8792176,43.1168825,POINT (131.8792176 43.1168825)
45,railway,121.974155,56.3898329,POINT (121.974155 56.3898329)
46,railway,125.1211022,57.1974276,POINT (125.1211022 57.1974276)
47,railway,124.2110148,53.8418272,POINT (124.2110148 53.8418272)
48,hospital,132.1758268,43.3487424,POINT (132.1758268 43.3487424)
49,hospital,132.1877401,43.3585719,POINT (132.1877401 43.3585719)
50,atm,150.8374677,59.5513045,POINT (150.8374677 59.5513045)
