,type,lon,lat,geometry
0,railway,33.7136484,60.7497548,POINT (33.7136484 60.7497548)
1,railway,33.3151451,60.6228664,POINT (33.3151451 60.6228664)
2,railway,30.3547672,59.9904636,POINT (30.3547672 59.9904636)
3,railway,30.4250102,59.9882032,POINT (30.4250102 59.9882032)
4,railway,34.2503457,61.9411138,POINT (34.2503457 61.9411138)
5,railway,34.3026753,63.1499652,POINT (34.3026753 63.1499652)
6,railway,30.3581566,59.9581823,POINT (30.3581566 59.9581823)
7,railway,29.6126442,58.5841764,POINT (29.6126442 58.5841764)
8,railway,30.8335343,58.612092,POINT (30.8335343 58.612092)
9,railway,30.3150392,58.6479982,POINT (30.3150392 58.6479982)
10,railway,30.3631131,59.926932,POINT (30.3631131 59.926932)
11,railway,30.3307149,59.9188181,POINT (30.3307149 59.9188181)
12,railway,31.2331074,58.5521323,POINT (31.2331074 58.5521323)
13,railway,30.2964601,60.039202,POINT (30.2964601 60.039202)
14,railway,30.3874886,59.9090382,POINT (30.3874886 59.9090382)
15,railway,30.2186217,60.1043173,POINT (30.2186217 60.1043173)
16,railway,30.4428073,60.0505255,POINT (30.4428073 60.0505255)
17,railway,34.2811966,63.6584616,POINT (34.2811966 63.6584616)
18,railway,34.5167914,62.299353,POINT (34.5167914 62.299353)
19,railway,34.4468295,62.2624012,POINT (34.4468295 62.2624012)
20,railway,34.2452582,62.1082938,POINT (34.2452582 62.1082938)
21,railway,33.988481,60.8376107,POINT (33.988481 60.8376107)
22,railway,34.0685875,60.9020017,POINT (34.0685875 60.9020017)
23,railway,30.429679,59.7230377,POINT (30.429679 59.7230377)
24,railway,29.3630437,58.423257,POINT (29.3630437 58.423257)
25,railway,28.3169775,57.3544041,POINT (28.3169775 57.3544041)
26,railway,30.0054069,56.1354898,POINT (30.0054069 56.1354898)
27,railway,30.0675925,56.1663879,POINT (30.0675925 56.1663879)
28,railway,30.1999474,56.5070955,POINT (30.1999474 56.5070955)
29,railway,34.4458299,61.7390813,POINT (34.4458299 61.7390813)
30,railway,33.0468546,60.3962282,POINT (33.0468546 60.3962282)
31,railway,33.1415592,60.4554848,POINT (33.1415592 60.4554848)
32,railway,34.0836929,60.9514526,POINT (34.0836929 60.9514526)
33,railway,34.3942238,61.1011619,POINT (34.3942238 61.1011619)
34,railway,30.2611406,60.4644369,POINT (30.2611406 60.4644369)
35,railway,28.6901263,60.5285769,POINT (28.6901263 60.5285769)
36,railway,28.6843843,60.5830562,POINT (28.6843843 60.5830562)
37,railway,28.7151711,60.4527885,POINT (28.7151711 60.4527885)
38,railway,33.069237,68.9719752,POINT (33.069237 68.9719752)
39,railway,33.0512006,68.8889285,POINT (33.0512006 68.8889285)
40,railway,33.0820651,68.8366707,POINT (33.0820651 68.8366707)
41,railway,33.0974158,69.0195341,POINT (33.0974158 69.0195341)
42,subway,30.3128296,59.9649148,POINT (30.3128296 59.9649148)
43,railway,30.3128296,59.9649148,POINT (30.3128296 59.9649148)
44,subway,30.3194568,59.9551564,POINT (30.3194568 59.9551564)
45,railway,30.3194568,59.9551564,POINT (30.3194568 59.9551564)
46,subway,30.2890649,59.9501285,POINT (30.2890649 59.9501285)
47,railway,30.2890649,59.9501285,POINT (30.2890649 59.9501285)
48,subway,30.2924203,59.9593342,POINT (30.2924203 59.9593342)
49,railway,30.2924203,59.9593342,POINT (30.2924203 59.9593342)
50,subway,30.3181589,60.0179314,POINT (30.3181589 60.0179314)
51,railway,30.3181589,60.0179314,POINT (30.3181589 60.0179314)
52,subway,30.262192,59.9705962,POINT (30.262192 59.9705962)
53,railway,30.262192,59.9705962,POINT (30.262192 59.9705962)
54,subway,30.2556348,59.987678,POINT (30.2556348 59.987678)
55,railway,30.2556348,59.987678,POINT (30.2556348 59.987678)
56,subway,30.3193825,59.9276034,POINT (30.3193825 59.9276034)
57,railway,30.3193825,59.9276034,POINT (30.3193825 59.9276034)
58,subway,30.3200465,59.9259772,POINT (30.3200465 59.9259772)
59,railway,30.3200465,59.9259772,POINT (30.3200465 59.9259772)
60,subway,30.3458263,59.9268264,POINT (30.3458263 59.9268264)
61,railway,30.3458263,59.9268264,POINT (30.3458263 59.9268264)
62,subway,30.359275,59.9215938,POINT (30.359275 59.9215938)
63,railway,30.359275,59.9215938,POINT (30.359275 59.9215938)
64,subway,30.3868253,59.9233521,POINT (30.3868253 59.9233521)
65,railway,30.3868253,59.9233521,POINT (30.3868253 59.9233521)
66,subway,30.4152087,59.9295952,POINT (30.4152087 59.9295952)
67,railway,30.4152087,59.9295952,POINT (30.4152087 59.9295952)
68,subway,30.4424153,59.9315249,POINT (30.4424153 59.9315249)
69,railway,30.4424153,59.9315249,POINT (30.4424153 59.9315249)
70,subway,30.3008958,59.9872271,POINT (30.3008958 59.9872271)
71,railway,30.3008958,59.9872271,POINT (30.3008958 59.9872271)
72,subway,30.2963474,60.0043005,POINT (30.2963474 60.0043005)
73,railway,30.2963474,60.0043005,POINT (30.2963474 60.0043005)
74,subway,30.3210297,60.0353185,POINT (30.3210297 60.0353185)
75,railway,30.3210297,60.0353185,POINT (30.3210297 60.0353185)
76,subway,30.3590236,59.9299928,POINT (30.3590236 59.9299928)
77,railway,30.3590236,59.9299928,POINT (30.3590236 59.9299928)
78,railway,29.9613573,57.8238913,POINT (29.9613573 57.8238913)
79,railway,28.6299344,60.3652892,POINT (28.6299344 60.3652892)
80,subway,30.4426386,60.050266,POINT (30.4426386 60.050266)
81,railway,30.4426386,60.050266,POINT (30.4426386 60.050266)
82,subway,30.4817525,59.9090112,POINT (30.4817525 59.9090112)
83,railway,30.4817525,59.9090112,POINT (30.4817525 59.9090112)
84,subway,30.4640141,59.92103,POINT (30.4640141 59.92103)
85,railway,30.4640141,59.92103,POINT (30.4640141 59.92103)
86,railway,30.325988,58.7364988,POINT (30.325988 58.7364988)
87,railway,30.3403161,59.4546051,POINT (30.3403161 59.4546051)
88,railway,30.3415376,59.4298457,POINT (30.3415376 59.4298457)
89,railway,28.9572634,60.798717,POINT (28.9572634 60.798717)
90,railway,30.284307,58.4778145,POINT (30.284307 58.4778145)
91,railway,28.3855889,59.1940117,POINT (28.3855889 59.1940117)
92,railway,31.9261078,59.8917891,POINT (31.9261078 59.8917891)
93,railway,29.0106587,59.7284402,POINT (29.0106587 59.7284402)
94,railway,30.9651315,60.0967989,POINT (30.9651315 60.0967989)
95,school,29.0895339,59.8995989,POINT (29.0895339 59.8995989)
