,type,lon,lat,geometry
0,railway,48.0912272,53.2835245,POINT (48.0912272 53.2835245)
1,railway,48.0176207,53.3857824,POINT (48.0176207 53.3857824)
2,railway,48.143943,54.5929667,POINT (48.143943 54.5929667)
3,railway,48.2802144,54.1179928,POINT (48.2802144 54.1179928)
4,railway,48.2297947,54.7734065,POINT (48.2297947 54.7734065)
5,railway,48.2447569,55.0527302,POINT (48.2447569 55.0527302)
6,railway,48.3105665,52.9135968,POINT (48.3105665 52.9135968)
7,railway,48.5165181,53.6874277,POINT (48.5165181 53.6874277)
8,railway,48.4815878,55.7235105,POINT (48.4815878 55.7235105)
9,railway,48.6682695,53.1613797,POINT (48.6682695 53.1613797)
10,railway,48.6403401,53.2594457,POINT (48.6403401 53.2594457)
11,railway,48.7852259,53.1836251,POINT (48.7852259 53.1836251)
12,railway,49.1407282,53.265737,POINT (49.1407282 53.265737)
13,railway,49.2632798,53.2668952,POINT (49.2632798 53.2668952)
14,railway,49.4322383,52.8404139,POINT (49.4322383 52.8404139)
15,railway,49.4127843,53.3241524,POINT (49.4127843 53.3241524)
16,railway,49.9678429,53.475007,POINT (49.9678429 53.475007)
17,railway,50.8370222,53.2519094,POINT (50.8370222 53.2519094)
18,railway,51.0884559,53.4230259,POINT (51.0884559 53.4230259)
19,railway,51.1443604,53.5319577,POINT (51.1443604 53.5319577)
20,railway,51.2759775,53.8192721,POINT (51.2759775 53.8192721)
21,railway,51.1962092,53.9293306,POINT (51.1962092 53.9293306)
22,railway,51.2163253,54.3802335,POINT (51.2163253 54.3802335)
23,railway,51.3156815,53.7451989,POINT (51.3156815 53.7451989)
24,railway,51.8041872,53.600111,POINT (51.8041872 53.600111)
25,railway,51.7936796,54.2905408,POINT (51.7936796 54.2905408)
26,railway,52.0318914,53.0577457,POINT (52.0318914 53.0577457)
27,railway,51.9617271,54.2354621,POINT (51.9617271 54.2354621)
28,railway,52.008892,55.3127833,POINT (52.008892 55.3127833)
29,railway,52.1389131,54.9195453,POINT (52.1389131 54.9195453)
30,railway,52.0683909,55.0839603,POINT (52.0683909 55.0839603)
31,railway,52.2469938,54.2841612,POINT (52.2469938 54.2841612)
32,railway,52.5380164,54.4208861,POINT (52.5380164 54.4208861)
33,railway,52.5249788,54.5100774,POINT (52.5249788 54.5100774)
34,railway,52.8738239,53.5843014,POINT (52.8738239 53.5843014)
35,railway,53.1253615,54.6680881,POINT (53.1253615 54.6680881)
36,railway,44.277268,53.1534556,POINT (44.277268 53.1534556)
37,railway,44.4701484,53.2760836,POINT (44.4701484 53.2760836)
38,railway,44.7106862,53.2770379,POINT (44.7106862 53.2770379)
39,railway,43.1666079,53.2450797,POINT (43.1666079 53.2450797)
40,railway,43.0353258,53.212358,POINT (43.0353258 53.212358)
41,railway,42.908038,53.2027352,POINT (42.908038 53.2027352)
42,railway,42.6622963,53.2315729,POINT (42.6622963 53.2315729)
43,railway,42.2992724,53.3721649,POINT (42.2992724 53.3721649)
44,railway,42.179616,53.3977383,POINT (42.179616 53.3977383)
45,railway,41.9460698,53.4256772,POINT (41.9460698 53.4256772)
46,hospital,50.1702418,53.2263341,POINT (50.1702418 53.2263341)
47,hospital,50.1669858,53.223174,POINT (50.1669858 53.223174)
48,railway,43.5804983,56.2525398,POINT (43.5804983 56.2525398)
49,hospital,50.248496,53.2326499,POINT (50.248496 53.2326499)
50,railway,47.7782873,51.292404,POINT (47.7782873 51.292404)
51,railway,49.4803789,53.3520576,POINT (49.4803789 53.3520576)
52,railway,43.8134868,56.1566038,POINT (43.8134868 56.1566038)
53,atm,50.0297968,58.531701,POINT (50.0297968 58.531701)
54,railway,56.3780697,57.8077382,POINT (56.3780697 57.8077382)
55,railway,56.93357,59.3464798,POINT (56.93357 59.3464798)
56,railway,57.6653404,59.0293424,POINT (57.6653404 59.0293424)
57,railway,57.7582854,58.5755707,POINT (57.7582854 58.5755707)
58,railway,57.7405416,58.5094266,POINT (57.7405416 58.5094266)
59,railway,57.6115898,58.2541402,POINT (57.6115898 58.2541402)
60,railway,59.2716067,58.4557556,POINT (59.2716067 58.4557556)
61,railway,57.9718451,58.362036,POINT (57.9718451 58.362036)
62,railway,46.0503696,55.5509632,POINT (46.0503696 55.5509632)
63,railway,45.7401019,55.5329235,POINT (45.7401019 55.5329235)
64,office,56.2799454,58.004528,POINT (56.2799454 58.004528)
65,railway,49.6439695,58.6060914,POINT (49.6439695 58.6060914)
66,railway,49.732572,58.6397802,POINT (49.732572 58.6397802)
67,bank,50.0836144,53.1863292,POINT (50.0836144 53.1863292)
68,atm,56.1888262,57.9775967,POINT (56.1888262 57.9775967)
69,atm,56.1566898,57.9963472,POINT (56.1566898 57.9963472)
70,food,45.8155257,51.6441638,POINT (45.8155257 51.6441638)
71,atm,56.1376899,57.9930156,POINT (56.1376899 57.9930156)
72,railway,47.9268951,58.2795947,POINT (47.9268951 58.2795947)
73,railway,56.4030523,58.1777892,POINT (56.4030523 58.1777892)
74,railway,56.2991872,57.8943666,POINT (56.2991872 57.8943666)
75,atm,56.2282322,58.0083406,POINT (56.2282322 58.0083406)
76,bank,56.1942204,58.005588,POINT (56.1942204 58.005588)
77,food,56.2376835,58.0114618,POINT (56.2376835 58.0114618)
78,bank,56.0088327,54.7611837,POINT (56.0088327 54.7611837)
79,railway,49.8881342,56.0769792,POINT (49.8881342 56.0769792)
80,railway,48.2865309,58.3038988,POINT (48.2865309 58.3038988)
81,railway,55.5965446,56.4283841,POINT (55.5965446 56.4283841)
82,railway,43.8244361,54.0183647,POINT (43.8244361 54.0183647)
83,railway,47.3495776,54.0975522,POINT (47.3495776 54.0975522)
84,railway,47.1260498,54.0474552,POINT (47.1260498 54.0474552)
85,railway,46.8586281,53.9711642,POINT (46.8586281 53.9711642)
86,railway,45.9056679,53.8758266,POINT (45.9056679 53.8758266)
87,railway,46.6005063,53.1118393,POINT (46.6005063 53.1118393)
88,railway,46.2332974,53.1401955,POINT (46.2332974 53.1401955)
89,railway,47.052862,53.1512378,POINT (47.052862 53.1512378)
90,railway,54.9586192,51.324497,POINT (54.9586192 51.324497)
91,railway,54.9164059,51.1720467,POINT (54.9164059 51.1720467)
92,railway,55.3692397,51.9547094,POINT (55.3692397 51.9547094)
93,railway,59.7649583,51.8175094,POINT (59.7649583 51.8175094)
94,railway,59.1509442,51.4075264,POINT (59.1509442 51.4075264)
95,railway,54.5521619,56.2405261,POINT (54.5521619 56.2405261)
96,railway,54.3817154,56.2393226,POINT (54.3817154 56.2393226)
97,railway,54.2284194,56.2601118,POINT (54.2284194 56.2601118)
98,railway,51.2921395,56.2451338,POINT (51.2921395 56.2451338)
99,railway,51.1943563,56.2470388,POINT (51.1943563 56.2470388)
100,railway,50.6425077,56.1792337,POINT (50.6425077 56.1792337)
101,railway,50.5248404,56.1661179,POINT (50.5248404 56.1661179)
102,railway,50.3970329,56.1893664,POINT (50.3970329 56.1893664)
103,railway,49.647831,56.0226086,POINT (49.647831 56.0226086)
104,railway,49.4195769,55.9673069,POINT (49.4195769 55.9673069)
105,railway,49.5730197,56.0075445,POINT (49.5730197 56.0075445)
106,railway,49.2481188,55.8907664,POINT (49.2481188 55.8907664)
107,railway,53.9504982,56.9541765,POINT (53.9504982 56.9541765)
108,railway,48.2769696,51.3480164,POINT (48.2769696 51.3480164)
109,railway,49.123237,51.2017843,POINT (49.123237 51.2017843)
110,railway,48.7209286,51.8134491,POINT (48.7209286 51.8134491)
111,railway,48.5358747,51.577833,POINT (48.5358747 51.577833)
112,railway,48.43823,51.5126978,POINT (48.43823 51.5126978)
113,railway,55.5355081,51.0415369,POINT (55.5355081 51.0415369)
114,railway,55.6172066,50.9983596,POINT (55.6172066 50.9983596)
115,railway,55.9128554,50.9064112,POINT (55.9128554 50.9064112)
116,railway,56.103732,50.8631207,POINT (56.103732 50.8631207)
117,railway,54.3792292,53.9993507,POINT (54.3792292 53.9993507)
118,railway,55.2202417,54.4032082,POINT (55.2202417 54.4032082)
119,railway,55.3948816,54.5870606,POINT (55.3948816 54.5870606)
120,railway,56.8776181,54.8754446,POINT (56.8776181 54.8754446)
121,railway,54.9254876,54.5791868,POINT (54.9254876 54.5791868)
122,railway,55.206787,54.563503,POINT (55.206787 54.563503)
123,railway,55.3441245,54.5809613,POINT (55.3441245 54.5809613)
124,railway,58.4672387,54.9722417,POINT (58.4672387 54.9722417)
125,railway,59.413981,54.3309678,POINT (59.413981 54.3309678)
126,railway,44.908146,54.7927185,POINT (44.908146 54.7927185)
127,railway,44.4605716,54.9715807,POINT (44.4605716 54.9715807)
128,railway,44.298656,55.0957815,POINT (44.298656 55.0957815)
