,type,lon,lat,geometry
0,railway,37.6537207,55.7788343,POINT (37.6537207 55.7788343)
1,railway,37.2990008,55.9496529,POINT (37.2990008 55.9496529)
2,railway,37.4503839,55.7267974,POINT (37.4503839 55.7267974)
3,railway,37.7466848,55.8030155,POINT (37.7466848 55.8030155)
4,subway,37.66155,55.8871767,POINT (37.66155 55.8871767)
5,railway,37.66155,55.8871767,POINT (37.66155 55.8871767)
6,subway,37.6641842,55.8696254,POINT (37.6641842 55.8696254)
7,railway,37.6641842,55.8696254,POINT (37.6641842 55.8696254)
8,railway,37.6627872,55.7576786,POINT (37.6627872 55.7576786)
9,subway,37.7509929,55.788503,POINT (37.7509929 55.788503)
10,railway,37.7509929,55.788503,POINT (37.7509929 55.788503)
11,subway,37.7212818,55.7833072,POINT (37.7212818 55.7833072)
12,railway,37.7212818,55.7833072,POINT (37.7212818 55.7833072)
13,railway,37.659914,55.7742475,POINT (37.659914 55.7742475)
14,hospital,38.3377855,57.5384813,POINT (38.3377855 57.5384813)
15,food,37.5271538,55.6517026,POINT (37.5271538 55.6517026)
16,railway,37.4848606,56.0135125,POINT (37.4848606 56.0135125)
17,railway,37.6321318,55.7932703,POINT (37.6321318 55.7932703)
18,railway,37.896829,55.415149,POINT (37.896829 55.415149)
19,railway,38.8052754,55.0861808,POINT (38.8052754 55.0861808)
20,railway,39.2586378,54.9161434,POINT (39.2586378 54.9161434)
21,railway,42.6622963,53.2315729,POINT (42.6622963 53.2315729)
22,railway,42.2992724,53.3721649,POINT (42.2992724 53.3721649)
23,railway,42.179616,53.3977383,POINT (42.179616 53.3977383)
24,railway,40.2557409,53.7483968,POINT (40.2557409 53.7483968)
25,railway,40.1360633,53.7053822,POINT (40.1360633 53.7053822)
26,railway,41.9460698,53.4256772,POINT (41.9460698 53.4256772)
27,railway,37.6512864,55.699905,POINT (37.6512864 55.699905)
28,railway,37.6874448,55.7154769,POINT (37.6874448 55.7154769)
29,railway,36.9109467,57.802081,POINT (36.9109467 57.802081)
30,bank,35.0045334,57.870554,POINT (35.0045334 57.870554)
31,bank,35.0045969,57.8698217,POINT (35.0045969 57.8698217)
32,bank,35.0074741,57.8712276,POINT (35.0074741 57.8712276)
