,type,lon,lat,geometry
0,railway,21.0688877,54.635771,POINT (21.0688877 54.635771)
1,railway,20.1770136,54.5707678,POINT (20.1770136 54.5707678)
2,railway,20.055916,54.5432857,POINT (20.055916 54.5432857)
3,airport,20.6049701,54.564015,POINT (20.6049701 54.564015)
4,railway,20.4727558,54.9585197,POINT (20.4727558 54.9585197)
5,bank,20.4992572,54.7208867,POINT (20.4992572 54.7208867)
6,bank,20.5075998,54.7115999,POINT (20.5075998 54.7115999)
7,railway,20.5072405,54.8275531,POINT (20.5072405 54.8275531)
8,railway,20.2520868,54.8406749,POINT (20.2520868 54.8406749)
9,railway,20.3036372,54.8020235,POINT (20.3036372 54.8020235)
10,railway,20.1605853,54.9333493,POINT (20.1605853 54.9333493)
11,railway,20.2255046,54.9487993,POINT (20.2255046 54.9487993)
12,railway,20.4452812,54.7648506,POINT (20.4452812 54.7648506)
13,atm,20.5023541,54.6946047,POINT (20.5023541 54.6946047)
14,food,20.5082732,54.7217095,POINT (20.5082732 54.7217095)
15,atm,20.5083501,54.7211966,POINT (20.5083501 54.7211966)
16,railway,20.003411,54.7321626,POINT (20.003411 54.7321626)
17,atm,20.517126,54.7045296,POINT (20.517126 54.7045296)
18,atm,20.5041664,54.7430939,POINT (20.5041664 54.7430939)
19,railway,21.6440825,54.8825905,POINT (21.6440825 54.8825905)
20,food,20.5365306,54.7132937,POINT (20.5365306 54.7132937)
21,food,20.5547116,54.6985239,POINT (20.5547116 54.6985239)
22,college,20.5300284,54.71753,POINT (20.5300284 54.71753)
23,college,20.5299033,54.7175069,POINT (20.5299033 54.7175069)
24,food,20.5267752,54.722288,POINT (20.5267752 54.722288)
25,atm,20.5536474,54.7099896,POINT (20.5536474 54.7099896)
26,food,20.1416569,54.9398842,POINT (20.1416569 54.9398842)
27,food,20.8533427,55.1542063,POINT (20.8533427 55.1542063)
28,railway,20.6232621,54.6519169,POINT (20.6232621 54.6519169)
29,food,20.4812419,54.7283824,POINT (20.4812419 54.7283824)
30,bank,20.4803294,54.7284151,POINT (20.4803294 54.7284151)
31,atm,20.501508,54.6723981,POINT (20.501508 54.6723981)
32,food,20.5016013,54.6725857,POINT (20.5016013 54.6725857)
33,food,20.1536208,54.9434383,POINT (20.1536208 54.9434383)
34,food,20.1530218,54.9438853,POINT (20.1530218 54.9438853)
35,food,20.1474081,54.9433125,POINT (20.1474081 54.9433125)
36,food,20.1537388,54.9433582,POINT (20.1537388 54.9433582)
37,food,20.1523078,54.9438175,POINT (20.1523078 54.9438175)
38,railway,20.3582769,54.6452612,POINT (20.3582769 54.6452612)
39,food,20.4889543,54.7226571,POINT (20.4889543 54.7226571)
40,railway,20.4919956,54.6881068,POINT (20.4919956 54.6881068)
41,hospital,20.0080723,54.7293616,POINT (20.0080723 54.7293616)
42,food,20.6685767,55.0486529,POINT (20.6685767 55.0486529)
43,bank,20.4803674,54.7209394,POINT (20.4803674 54.7209394)
44,atm,20.4794488,54.7206296,POINT (20.4794488 54.7206296)
45,atm,20.483778,54.7206244,POINT (20.483778 54.7206244)
46,railway,21.1007028,54.855507,POINT (21.1007028 54.855507)
47,railway,21.2148791,54.6149608,POINT (21.2148791 54.6149608)
48,railway,22.5788975,54.6286255,POINT (22.5788975 54.6286255)
49,college,20.5114404,54.7008873,POINT (20.5114404 54.7008873)
50,college,20.4533764,54.7201229,POINT (20.4533764 54.7201229)
51,college,20.477103,54.7269657,POINT (20.477103 54.7269657)
52,college,20.4775247,54.7270668,POINT (20.4775247 54.7270668)
53,college,20.4840783,54.7344399,POINT (20.4840783 54.7344399)
54,college,20.483871,54.7345711,POINT (20.483871 54.7345711)
55,school,20.5099328,54.739398,POINT (20.5099328 54.739398)
56,college,20.5092664,54.7393517,POINT (20.5092664 54.7393517)
57,college,20.5274891,54.7247485,POINT (20.5274891 54.7247485)
58,college,20.521885,54.7097999,POINT (20.521885 54.7097999)
59,college,20.5219095,54.7096612,POINT (20.5219095 54.7096612)
60,food,20.4970055,54.7206538,POINT (20.4970055 54.7206538)
61,college,20.4981101,54.7209581,POINT (20.4981101 54.7209581)
62,food,20.4961167,54.7219543,POINT (20.4961167 54.7219543)
63,college,20.5033907,54.7258013,POINT (20.5033907 54.7258013)
64,college,20.5001701,54.7256399,POINT (20.5001701 54.7256399)
65,college,20.500343,54.7265127,POINT (20.500343 54.7265127)
66,college,20.5005258,54.7264907,POINT (20.5005258 54.7264907)
67,college,20.4771253,54.7297524,POINT (20.4771253 54.7297524)
68,college,20.5021193,54.7091023,POINT (20.5021193 54.7091023)
69,college,20.4889455,54.7146223,POINT (20.4889455 54.7146223)
70,college,20.5037127,54.7023126,POINT (20.5037127 54.7023126)
71,college,20.5037645,54.7019567,POINT (20.5037645 54.7019567)
72,kgarden,20.5045667,54.6808279,POINT (20.5045667 54.6808279)
73,college,20.50251,54.7090724,POINT (20.50251 54.7090724)
74,college,20.4581412,54.7118468,POINT (20.4581412 54.7118468)
75,college,20.5213438,54.7113348,POINT (20.5213438 54.7113348)
