,type,lon,lat,geometry
0,railway,43.076848,44.1201963,POINT (43.076848 44.1201963)
1,railway,41.963666,44.6308098,POINT (41.963666 44.6308098)
2,railway,47.8852707,42.5472374,POINT (47.8852707 42.5472374)
3,railway,46.8107369,45.3333768,POINT (46.8107369 45.3333768)
4,railway,47.9415922,42.4697982,POINT (47.9415922 42.4697982)
5,railway,48.0240139,42.3079759,POINT (48.0240139 42.3079759)
6,atm,41.6221549,43.289578,POINT (41.6221549 43.289578)
7,railway,42.8543592,44.0482243,POINT (42.8543592 44.0482243)
8,food,43.067444,44.0357201,POINT (43.067444 44.0357201)
9,railway,42.2175969,45.1041643,POINT (42.2175969 45.1041643)
10,railway,42.4167266,45.2092831,POINT (42.4167266 45.2092831)
11,railway,42.6642561,45.2228852,POINT (42.6642561 45.2228852)
12,railway,43.3393734,45.89757,POINT (43.3393734 45.89757)
13,food,44.2238864,43.0399143,POINT (44.2238864 43.0399143)
14,atm,44.2241121,43.0375728,POINT (44.2241121 43.0375728)
15,food,43.8364804,42.5986124,POINT (43.8364804 42.5986124)
16,food,44.2211943,43.0531733,POINT (44.2211943 43.0531733)
17,food,43.0651796,44.0610235,POINT (43.0651796 44.0610235)
18,railway,43.0550276,44.0377505,POINT (43.0550276 44.0377505)
19,food,42.8695033,44.0506192,POINT (42.8695033 44.0506192)
20,food,41.280706,43.5629048,POINT (41.280706 43.5629048)
21,railway,41.0374455,45.4474799,POINT (41.0374455 45.4474799)
22,food,42.5620663,43.24629,POINT (42.5620663 43.24629)
23,hospital,42.8527742,44.0487731,POINT (42.8527742 44.0487731)
24,school,42.8571866,44.042868,POINT (42.8571866 44.042868)
25,hospital,41.9276332,45.0040232,POINT (41.9276332 45.0040232)
26,hospital,41.9032157,45.0412057,POINT (41.9032157 45.0412057)
27,food,42.6105341,43.2482557,POINT (42.6105341 43.2482557)
28,food,42.5150656,43.2564632,POINT (42.5150656 43.2564632)
29,food,42.5162311,43.256075,POINT (42.5162311 43.256075)
30,food,45.7064728,43.304469,POINT (45.7064728 43.304469)
31,food,45.7067947,43.3041176,POINT (45.7067947 43.3041176)
32,food,45.7034453,43.3066133,POINT (45.7034453 43.3066133)
33,food,41.9327454,44.8532155,POINT (41.9327454 44.8532155)
34,hospital,41.7004366,45.3776739,POINT (41.7004366 45.3776739)
35,hospital,41.698198,45.373917,POINT (41.698198 45.373917)
36,school,41.6911697,45.358654,POINT (41.6911697 45.358654)
37,school,41.7112188,45.364363,POINT (41.7112188 45.364363)
38,school,41.7193055,45.3642869,POINT (41.7193055 45.3642869)
39,food,41.711772,45.3744798,POINT (41.711772 45.3744798)
40,food,41.6538667,43.2944963,POINT (41.6538667 43.2944963)
41,food,41.6729247,43.2924201,POINT (41.6729247 43.2924201)
42,food,42.7105805,43.9270116,POINT (42.7105805 43.9270116)
43,railway,42.7246524,43.9225951,POINT (42.7246524 43.9225951)
44,railway,41.2071573,45.488567,POINT (41.2071573 45.488567)
45,hospital,41.2119967,45.4870342,POINT (41.2119967 45.4870342)
46,bank,41.9479667,44.6240638,POINT (41.9479667 44.6240638)
47,bank,43.1288216,44.0381217,POINT (43.1288216 44.0381217)
48,school,41.9069327,43.8048655,POINT (41.9069327 43.8048655)
49,food,43.072356,44.0375252,POINT (43.072356 44.0375252)
50,food,43.064947,44.054492,POINT (43.064947 44.054492)
51,food,43.0636737,44.0617846,POINT (43.0636737 44.0617846)
52,food,42.0682309,44.2370192,POINT (42.0682309 44.2370192)
53,food,42.0664063,44.2381427,POINT (42.0664063 44.2381427)
54,school,42.0632097,44.2370631,POINT (42.0632097 44.2370631)
55,railway,42.068981,44.2376037,POINT (42.068981 44.2376037)
56,food,42.048354,44.2134704,POINT (42.048354 44.2134704)
57,hospital,42.0532603,44.2302884,POINT (42.0532603 44.2302884)
58,bank,42.0465288,44.2230735,POINT (42.0465288 44.2230735)
59,bank,42.0487135,44.2332109,POINT (42.0487135 44.2332109)
60,hospital,42.0436855,44.2171882,POINT (42.0436855 44.2171882)
61,hospital,42.0426643,44.2172768,POINT (42.0426643 44.2172768)
62,hospital,42.0433862,44.2172048,POINT (42.0433862 44.2172048)
63,college,42.0436462,44.2136465,POINT (42.0436462 44.2136465)
64,college,42.0395395,44.2154165,POINT (42.0395395 44.2154165)
65,school,42.0467475,44.2137224,POINT (42.0467475 44.2137224)
66,school,42.0457819,44.2132763,POINT (42.0457819 44.2132763)
67,school,42.0419699,44.2465013,POINT (42.0419699 44.2465013)
68,hospital,42.0431446,44.2237531,POINT (42.0431446 44.2237531)
69,food,42.0480684,44.2186518,POINT (42.0480684 44.2186518)
70,school,42.0475212,44.2172139,POINT (42.0475212 44.2172139)
71,school,42.0550699,44.2316148,POINT (42.0550699 44.2316148)
72,school,42.0182345,44.2274778,POINT (42.0182345 44.2274778)
73,food,41.9140629,43.791827,POINT (41.9140629 43.791827)
74,hospital,41.9050821,43.7674918,POINT (41.9050821 43.7674918)
75,railway,41.9141289,44.4398521,POINT (41.9141289 44.4398521)
76,food,41.7134165,43.8619004,POINT (41.7134165 43.8619004)
77,food,41.5846706,43.8548962,POINT (41.5846706 43.8548962)
78,school,41.4501008,43.885627,POINT (41.4501008 43.885627)
79,hospital,41.9821976,44.0820884,POINT (41.9821976 44.0820884)
80,school,41.9785448,44.0839386,POINT (41.9785448 44.0839386)
81,school,41.9788453,44.0986545,POINT (41.9788453 44.0986545)
82,food,41.88285,43.9098126,POINT (41.88285 43.9098126)
83,food,41.8827372,43.9105027,POINT (41.8827372 43.9105027)
84,food,41.8845408,43.9098234,POINT (41.8845408 43.9098234)
85,school,41.9090455,43.7707486,POINT (41.9090455 43.7707486)
86,school,41.9101849,43.7496641,POINT (41.9101849 43.7496641)
87,food,41.7868441,43.5465452,POINT (41.7868441 43.5465452)
88,hospital,41.753855,43.4578034,POINT (41.753855 43.4578034)
89,hospital,41.7352907,43.4589211,POINT (41.7352907 43.4589211)
90,food,41.7430919,43.4401634,POINT (41.7430919 43.4401634)
91,food,41.7432106,43.435356,POINT (41.7432106 43.435356)
92,food,41.7054551,43.3871361,POINT (41.7054551 43.3871361)
93,food,42.087566,44.2521778,POINT (42.087566 44.2521778)
94,school,42.1523111,44.1878467,POINT (42.1523111 44.1878467)
95,school,47.4702502,42.9728864,POINT (47.4702502 42.9728864)
96,food,42.0298307,44.1786526,POINT (42.0298307 44.1786526)
97,food,42.2357568,43.7582429,POINT (42.2357568 43.7582429)
98,food,42.2347944,43.7578399,POINT (42.2347944 43.7578399)
99,school,42.0386413,44.0130603,POINT (42.0386413 44.0130603)
100,hospital,42.3045354,43.9686336,POINT (42.3045354 43.9686336)
101,kgarden,42.4197831,44.3844181,POINT (42.4197831 44.3844181)
102,school,42.4927509,43.9400464,POINT (42.4927509 43.9400464)
103,food,42.4886257,43.9390517,POINT (42.4886257 43.9390517)
104,school,41.8801774,43.6383214,POINT (41.8801774 43.6383214)
105,food,41.9464815,44.3597624,POINT (41.9464815 44.3597624)
106,food,41.945039,44.3601951,POINT (41.945039 44.3601951)
