,type,lon,lat,geometry
0,railway,60.5994413,56.8849668,POINT (60.5994413 56.8849668)
1,railway,60.5517273,56.8789423,POINT (60.5517273 56.8789423)
2,railway,60.6087731,56.7505929,POINT (60.6087731 56.7505929)
3,railway,60.5773922,56.677217,POINT (60.5773922 56.677217)
4,railway,60.3693448,56.9790405,POINT (60.3693448 56.9790405)
5,food,65.5323316,57.1569441,POINT (65.5323316 57.1569441)
6,school,68.7107989,55.8639309,POINT (68.7107989 55.8639309)
7,food,65.5876654,57.1124745,POINT (65.5876654 57.1124745)
8,school,65.5826389,57.1052257,POINT (65.5826389 57.1052257)
9,railway,59.5287879,58.3534399,POINT (59.5287879 58.3534399)
10,railway,59.2716067,58.4557556,POINT (59.2716067 58.4557556)
11,school,68.3080102,55.8050099,POINT (68.3080102 55.8050099)
12,food,65.5444006,57.1466896,POINT (65.5444006 57.1466896)
13,railway,64.7834138,61.8615667,POINT (64.7834138 61.8615667)
14,railway,63.3289142,61.3087954,POINT (63.3289142 61.3087954)
15,railway,65.3865599,62.1355856,POINT (65.3865599 62.1355856)
16,railway,61.2445179,54.7830874,POINT (61.2445179 54.7830874)
17,railway,61.6210916,55.1838524,POINT (61.6210916 55.1838524)
18,railway,60.371629,56.8625276,POINT (60.371629 56.8625276)
19,railway,60.1338146,55.0239133,POINT (60.1338146 55.0239133)
20,railway,60.0536659,55.0577191,POINT (60.0536659 55.0577191)
21,railway,67.3062989,56.4742103,POINT (67.3062989 56.4742103)
22,railway,66.3099092,56.6614511,POINT (66.3099092 56.6614511)
23,railway,69.7924996,56.0270435,POINT (69.7924996 56.0270435)
24,railway,60.9978324,55.4098329,POINT (60.9978324 55.4098329)
25,railway,60.3617996,54.9843245,POINT (60.3617996 54.9843245)
26,railway,60.7564353,54.9832664,POINT (60.7564353 54.9832664)
27,railway,68.7645968,58.6074534,POINT (68.7645968 58.6074534)
28,food,68.2759309,58.2253354,POINT (68.2759309 58.2253354)
29,subway,60.6139981,56.9013921,POINT (60.6139981 56.9013921)
30,railway,60.6139981,56.9013921,POINT (60.6139981 56.9013921)
31,railway,60.8080265,53.2100542,POINT (60.8080265 53.2100542)
32,railway,60.5687857,55.7200598,POINT (60.5687857 55.7200598)
33,railway,60.5815496,53.0525074,POINT (60.5815496 53.0525074)
34,railway,60.6951822,53.0310122,POINT (60.6951822 53.0310122)
35,railway,60.427162,55.9913047,POINT (60.427162 55.9913047)
36,railway,65.8139457,55.3731739,POINT (65.8139457 55.3731739)
37,railway,66.964774,55.2581365,POINT (66.964774 55.2581365)
38,railway,60.0386907,53.1098591,POINT (60.0386907 53.1098591)
39,railway,59.5716176,53.2373616,POINT (59.5716176 53.2373616)
40,railway,59.925636,55.072167,POINT (59.925636 55.072167)
41,railway,58.4672387,54.9722417,POINT (58.4672387 54.9722417)
42,railway,59.1096819,53.4086506,POINT (59.1096819 53.4086506)
43,railway,60.4748014,59.3154418,POINT (60.4748014 59.3154418)
44,railway,60.6090431,59.0511266,POINT (60.6090431 59.0511266)
45,railway,61.3325687,57.3119723,POINT (61.3325687 57.3119723)
46,railway,65.8714512,57.1742283,POINT (65.8714512 57.1742283)
47,railway,64.2656067,57.0739172,POINT (64.2656067 57.0739172)
48,bank,65.5800771,57.1203894,POINT (65.5800771 57.1203894)
49,atm,65.5824752,57.1091681,POINT (65.5824752 57.1091681)
50,bank,65.5723811,57.1125285,POINT (65.5723811 57.1125285)
51,railway,59.7227515,58.2837621,POINT (59.7227515 58.2837621)
52,railway,62.2798778,61.0669016,POINT (62.2798778 61.0669016)
53,atm,65.5824653,57.1091723,POINT (65.5824653 57.1091723)
54,atm,65.5824892,57.1091621,POINT (65.5824892 57.1091621)
55,atm,65.5838518,57.1079231,POINT (65.5838518 57.1079231)
56,atm,65.5856999,57.1053055,POINT (65.5856999 57.1053055)
57,atm,65.5524654,57.1252759,POINT (65.5524654 57.1252759)
58,bank,65.5327677,57.1590867,POINT (65.5327677 57.1590867)
59,school,61.5907071,54.8297271,POINT (61.5907071 54.8297271)
60,railway,59.9728597,58.579514,POINT (59.9728597 58.579514)
61,railway,60.4448641,54.9964329,POINT (60.4448641 54.9964329)
62,railway,61.7474517,57.682309,POINT (61.7474517 57.682309)
63,railway,61.7294497,58.2416606,POINT (61.7294497 58.2416606)
64,railway,61.7476783,58.4433699,POINT (61.7476783 58.4433699)
65,railway,61.7997258,58.7182652,POINT (61.7997258 58.7182652)
66,railway,61.4570108,59.2779392,POINT (61.4570108 59.2779392)
67,railway,61.2068413,59.3988215,POINT (61.2068413 59.3988215)
68,railway,59.0429241,53.4548841,POINT (59.0429241 53.4548841)
69,railway,59.3024894,53.3970362,POINT (59.3024894 53.3970362)
70,railway,58.8664977,53.144728,POINT (58.8664977 53.144728)
71,railway,59.0675018,53.4292391,POINT (59.0675018 53.4292391)
72,railway,59.167926,53.3431189,POINT (59.167926 53.3431189)
73,railway,59.0152849,53.4729514,POINT (59.0152849 53.4729514)
